numeric__age,numeric__sibsp,numeric__parch,numeric__fare,categorical__pclass_1,categorical__pclass_2,categorical__pclass_3,categorical__sex_female,categorical__sex_male,categorical__embarked_C,categorical__embarked_Q,categorical__embarked_S,BiasTerm
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
-0.3227210342884063,0.0327830389142036,-0.0278870854526758,-0.0581800900399684,-0.1129114553332328,-0.0075751286931335,0.1085879579186439,-0.3152012228965759,-0.6196103096008301,-0.0974037125706672,-0.0159089937806129,-0.0369282513856887,-0.5471494793891907
