numeric__age,numeric__sibsp,numeric__parch,numeric__fare,categorical__pclass_1,categorical__pclass_2,categorical__pclass_3,categorical__sex_female,categorical__sex_male,categorical__embarked_C,categorical__embarked_Q,categorical__embarked_S
-0.0998665024494642,-0.47957078304258416,-0.44759714185456223,-0.4992455636943435,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-0.41096120415791176,0.5107854493944685,-0.44759714185456223,-0.09061381124486473,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.4220189847103664,3.4818541467056257,1.8723741825104212,-0.017889685293178435,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.3331875287307999,-0.47957078304258416,-0.44759714185456223,-0.5099878309062716,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-1.033150607574807,-0.47957078304258416,-0.44759714185456223,-0.5012917098299489,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
-0.3331875287307999,-0.47957078304258416,-0.44759714185456223,-0.5012917098299489,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.3331875287307999,-0.47957078304258416,-0.44759714185456223,-0.12582389394636206,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.7220559058663594,-0.47957078304258416,-0.44759714185456223,-0.4971134794210427,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.0998665024494642,-0.47957078304258416,-0.44759714185456223,-0.050116486928963117,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.0998665024494642,-0.47957078304258416,-0.44759714185456223,-0.5033378559655542,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.0998665024494642,1.5011416818315209,-0.44759714185456223,-0.18209291267550995,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
-0.02209282702235231,-0.47957078304258416,-0.44759714185456223,-0.49566480795703405,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2.4666647866452283,-0.47957078304258416,-0.44759714185456223,0.027637066224041246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-0.8776032567205831,0.5107854493944685,0.7123885203279295,-0.39182289157506117,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.955376932147695,0.5107854493944685,-0.44759714185456223,-0.5134826485058857,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
-0.0998665024494642,-0.47957078304258416,-0.44759714185456223,-0.508197453037617,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.522322900967431,0.5107854493944685,0.7123885203279295,-0.16367759745506158,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
